EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
mkilpatr              3.26 TB          1.63 TB          4.29 TB          2.15 TB         2500       500000    ok/ok
pooja04               3.26 TB          1.63 TB          7.04 TB          3.52 TB        25716       500000    ok/ok
hn99                  3.25 TB          1.63 TB          4.29 TB          2.15 TB        20321       500000    ok/ok
toyoko                3.23 TB          1.62 TB          4.40 TB          2.20 TB        13111       500000    ok/ok
miceli                3.22 TB          1.61 TB          4.29 TB          2.15 TB         2765       500000    ok/ok
drankin               3.21 TB          1.61 TB          4.29 TB          2.15 TB        17618       500000    ok/ok
vasurang              3.20 TB          1.60 TB          4.29 TB          2.15 TB       112602       500000    ok/ok
zmao                  3.18 TB          1.59 TB          4.29 TB          2.15 TB        59835       500000    ok/ok
pmydn                 3.18 TB          1.59 TB          4.29 TB          2.15 TB         9977       500000    ok/ok
capalmer              3.16 TB          1.58 TB          4.29 TB          2.15 TB       255203       500000    ok/ok
sparedes              3.15 TB          1.58 TB          4.29 TB          2.15 TB        24096       500000    ok/ok
lfeng7                3.15 TB          1.57 TB          4.29 TB          2.15 TB         5089       500000    ok/ok
cstifler              3.14 TB          1.57 TB          4.00 TB          2.00 TB        78257       500000    ok/ok
anazario              3.13 TB          1.57 TB          4.29 TB          2.15 TB         9216       500000    ok/ok
wangmm                3.11 TB          1.56 TB          5.00 TB          2.50 TB         5806       500000    ok/ok
kovitang              3.10 TB          1.55 TB          8.80 TB          4.40 TB        13374       500000    ok/ok
mgalanti              3.08 TB          1.54 TB          4.29 TB          2.15 TB         3440       500000    ok/ok
rgp230                3.07 TB          1.54 TB          4.29 TB          2.15 TB       105148       500000    ok/ok
varun                 3.07 TB          1.53 TB          8.59 TB          4.29 TB        32982       500000    ok/ok
jaofferm              3.06 TB          1.53 TB          4.00 TB          2.00 TB        34043       500000    ok/ok
kulkarni              3.05 TB          1.52 TB          4.00 TB          2.00 TB       220041       500000    ok/ok
charaf                3.04 TB          1.52 TB          4.29 TB          2.15 TB        76333       500000    ok/ok
aperloff              3.03 TB          1.51 TB          4.29 TB          2.15 TB       187464       500000    ok/ok
eberry                3.03 TB          1.51 TB          4.29 TB          2.15 TB         3957       500000    ok/ok
rdong                 3.00 TB          1.50 TB          4.29 TB          2.15 TB        79803       500000    ok/ok
shoh                  2.99 TB          1.50 TB          4.29 TB          2.15 TB       130235       500000    ok/ok
elifalba              2.99 TB          1.49 TB          4.29 TB          2.15 TB          765       500000    ok/ok
abuccill              2.98 TB          1.49 TB          4.00 TB          2.00 TB         8181       500000    ok/ok
eyandel               2.97 TB          1.49 TB          4.29 TB          2.15 TB       140840       500000    ok/ok
msquires              2.97 TB          1.48 TB          4.29 TB          2.15 TB        65615       500000    ok/ok
djarcaro              2.96 TB          1.48 TB          4.29 TB          2.15 TB        12020       500000    ok/ok
vhegde                2.95 TB          1.47 TB          4.00 TB          2.00 TB        36341       500000    ok/ok
jk323209              2.94 TB          1.47 TB          4.29 TB          2.15 TB         2982       500000    ok/ok
mnaseri               2.93 TB          1.47 TB          4.00 TB          2.00 TB        16491       500000    ok/ok
arane                 2.93 TB          1.46 TB          4.00 TB          2.00 TB        15367       500000    ok/ok
gfunk                 2.92 TB          1.46 TB          4.29 TB          2.15 TB       463593       500000    ok/warning
jchaves               2.92 TB          1.46 TB          5.00 TB          2.50 TB        84020      2000000    ok/ok
ykomurcu              2.91 TB          1.46 TB          4.00 TB          2.00 TB       134235       500000    ok/ok
emilys                2.90 TB          1.45 TB          4.29 TB          2.15 TB        12577       500000    ok/ok
asantra4              2.88 TB          1.44 TB          4.40 TB          2.20 TB        22412       500000    ok/ok
jruizalv              2.86 TB          1.43 TB          4.00 TB          2.00 TB       322462       500000    ok/ok
gobied1               2.85 TB          1.42 TB          4.29 TB          2.15 TB        12442       500000    ok/ok
pilot                 2.85 TB          1.42 TB          4.29 TB          2.15 TB        65144       500000    ok/ok
bbilki                2.84 TB          1.42 TB         12.88 TB          6.44 TB        15532       500000    ok/ok
troy2012              2.79 TB          1.40 TB          4.29 TB          2.15 TB         4576       500000    ok/ok
valuev                2.79 TB          1.39 TB          4.29 TB          2.15 TB         3357       500000    ok/ok
yifeiguo              2.78 TB          1.39 TB          4.29 TB          2.15 TB       226425       500000    ok/ok
weinberg              2.77 TB          1.38 TB          4.29 TB          2.15 TB         3461       500000    ok/ok
shuai                 2.76 TB          1.38 TB          4.29 TB          2.15 TB         5138       500000    ok/ok
caroline              2.76 TB          1.38 TB          4.29 TB          2.15 TB        39696       500000    ok/ok
zixu                  2.75 TB          1.37 TB          4.29 TB          2.15 TB        11455       500000    ok/ok
gastonlp              2.73 TB          1.36 TB          4.00 TB          2.00 TB         2178       500000    ok/ok
ahadair               2.72 TB          1.36 TB          4.29 TB          2.15 TB         9987       500000    ok/ok
pdl                   2.71 TB          1.35 TB          4.29 TB          2.15 TB        12293       500000    ok/ok
kdilsiz               2.70 TB          1.35 TB          4.29 TB          2.15 TB       161903       500000    ok/ok
rosar                 2.69 TB          1.34 TB          4.29 TB          2.15 TB        11101       500000    ok/ok
cmadrid               2.66 TB          1.33 TB          4.00 TB          2.00 TB       104850       500000    ok/ok
oozcelik              2.63 TB          1.31 TB          4.29 TB          2.15 TB        91777       500000    ok/ok
jiafu                 2.61 TB          1.30 TB          6.44 TB          3.22 TB         3114       500000    ok/ok
btcarlso              2.61 TB          1.30 TB          4.29 TB          2.15 TB        25706       500000    ok/ok
sakharov              2.60 TB          1.30 TB          8.59 TB          4.29 TB         2159       500000    ok/ok
devdatta              2.59 TB          1.29 TB          4.29 TB          2.15 TB         3535       500000    ok/ok
huiwang               2.55 TB          1.27 TB          4.29 TB          2.15 TB        51278       500000    ok/ok
areinsvo              2.54 TB          1.27 TB          4.29 TB          2.15 TB         4708       500000    ok/ok
russ                  2.52 TB          1.26 TB          4.00 TB          2.00 TB        13611       500000    ok/ok
rtdelima              2.52 TB          1.26 TB          4.40 TB          2.20 TB         8568       500000    ok/ok
cgodfrey              2.52 TB          1.26 TB          4.29 TB          2.15 TB        13901       500000    ok/ok
makouski              2.50 TB          1.25 TB          4.29 TB          2.15 TB          789       500000    ok/ok
ajeeta                2.49 TB          1.24 TB          4.29 TB          2.15 TB         8016       500000    ok/ok
malhusse              2.46 TB          1.23 TB          4.00 TB          2.00 TB        10650       500000    ok/ok
kreis                 2.44 TB          1.22 TB          4.29 TB          2.15 TB       403479       500000    ok/ok
dsilveri              2.44 TB          1.22 TB          4.29 TB          2.15 TB         2853       500000    ok/ok
igraham               2.44 TB          1.22 TB          4.29 TB          2.15 TB        40265       500000    ok/ok
jdolen                2.43 TB          1.22 TB          4.29 TB          2.15 TB       206461       500000    ok/ok
mreid                 2.43 TB          1.21 TB          4.00 TB          2.00 TB         5505       500000    ok/ok
camclean              2.41 TB          1.21 TB          4.00 TB          2.00 TB       145931       500000    ok/ok
adatta                2.41 TB          1.20 TB         10.00 TB          5.00 TB       213800       500000    ok/ok
jsonneve              2.40 TB          1.20 TB          4.29 TB          2.15 TB       363545       500000    ok/ok
mba2012               2.40 TB          1.20 TB          4.29 TB          2.15 TB        60192       500000    ok/ok
stummar1              2.40 TB          1.20 TB          4.29 TB          2.15 TB         9413       500000    ok/ok
canyou                2.39 TB          1.19 TB          4.29 TB          2.15 TB         3258       500000    ok/ok
bhardwaj              2.38 TB          1.19 TB          4.29 TB          2.15 TB       139466       500000    ok/ok
mbhat                 2.37 TB          1.18 TB          4.29 TB          2.15 TB        45923       500000    ok/ok
pdudero               2.35 TB          1.18 TB          4.29 TB          2.15 TB         9224       500000    ok/ok
galank                2.35 TB          1.17 TB          4.29 TB          2.15 TB        25532       500000    ok/ok
yumiceva              2.33 TB          1.17 TB          4.29 TB          2.15 TB         1172       500000    ok/ok
gwalia                2.33 TB          1.16 TB          4.29 TB          2.15 TB        60573       500000    ok/ok
dnoonan               2.33 TB          1.16 TB          4.29 TB          2.15 TB        58208       500000    ok/ok
kxlpp1                2.33 TB          1.16 TB          4.29 TB          2.15 TB        56978       500000    ok/ok
benjtann              2.32 TB          1.16 TB          4.40 TB          2.20 TB        20458       500000    ok/ok
aa                    2.29 TB          1.15 TB          4.29 TB          2.15 TB         1382       500000    ok/ok
hokinson              2.26 TB          1.13 TB          4.29 TB          2.15 TB         8393       500000    ok/ok
yuehfenl              2.24 TB          1.12 TB          4.29 TB          2.15 TB         9486       500000    ok/ok
wsi                   2.22 TB          1.11 TB          4.29 TB          2.15 TB        13901       500000    ok/ok
skaplan               2.21 TB          1.11 TB          4.29 TB          2.15 TB        91408       500000    ok/ok
hsmith                2.21 TB          1.11 TB          4.29 TB          2.15 TB         7990       500000    ok/ok
pturner               2.20 TB          1.10 TB          4.29 TB          2.15 TB        67838       500000    ok/ok
nmirman               2.20 TB          1.10 TB          4.29 TB          2.15 TB        68239       500000    ok/ok
ehersey               2.18 TB          1.09 TB          4.29 TB          2.15 TB         9443       500000    ok/ok
ntran                 2.18 TB          1.09 TB          4.29 TB          2.15 TB       327841       500000    ok/ok
keti                  2.17 TB          1.08 TB          4.29 TB          2.15 TB         2501       500000    ok/ok
lchaparr              2.16 TB          1.08 TB          8.00 TB          4.00 TB         2572       500000    ok/ok
aagarwal              2.16 TB          1.08 TB          4.29 TB          2.15 TB         7790       500000    ok/ok
weizou                2.15 TB          1.08 TB          4.29 TB          2.15 TB        90692       500000    ok/ok
hakseong              2.13 TB          1.07 TB          4.29 TB          2.15 TB        19071       500000    ok/ok
gulerk                2.13 TB          1.06 TB          4.40 TB          2.20 TB          421       500000    ok/ok
edacosta              2.11 TB          1.06 TB          4.00 TB          2.00 TB        35353       500000    ok/ok
akub19                2.09 TB          1.04 TB          4.29 TB          2.15 TB        11763       500000    ok/ok
jhirsch               2.08 TB          1.04 TB          4.29 TB          2.15 TB        15840       500000    ok/ok
jdg6y                 2.07 TB          1.04 TB          4.29 TB          2.15 TB         7899       500000    ok/ok
zhenhu                2.07 TB          1.03 TB          4.00 TB          2.00 TB       188349     50000000    ok/ok
evah                  2.06 TB          1.03 TB          4.29 TB          2.15 TB        15524       500000    ok/ok
jviinika              2.06 TB          1.03 TB          4.29 TB          2.15 TB         1120       500000    ok/ok
tmou                  2.06 TB          1.03 TB          4.29 TB          2.15 TB         8070       500000    ok/ok
jdimasva              2.03 TB          1.01 TB          4.29 TB          2.15 TB         5524       500000    ok/ok
florez                2.02 TB          1.01 TB          4.29 TB          2.15 TB         1482       500000    ok/ok
lpan                  2.02 TB          1.01 TB          4.29 TB          2.15 TB         7709       500000    ok/ok
lcadamur              2.00 TB          1.00 TB          4.00 TB          2.00 TB        56044       500000    ok/ok
satoshi               2.00 TB        998.46 GB          4.29 TB          2.15 TB         9617       500000    ok/ok
cvernier              1.99 TB        995.81 GB          4.29 TB          2.15 TB        49174       500000    ok/ok
jimin                 1.97 TB        987.21 GB          4.29 TB          2.15 TB           51       500000    ok/ok
uscms6376             1.97 TB        987.03 GB           0.00 B           0.00 B        30905            0    ignored/ignored
creddy                1.97 TB        983.99 GB          4.29 TB          2.15 TB         7392       500000    ok/ok
sdogra                1.97 TB        982.94 GB          4.00 TB          2.00 TB         2598       500000    ok/ok
cfgonzal              1.95 TB        975.12 GB          4.29 TB          2.15 TB       322860       500000    ok/ok
sdey                  1.92 TB        960.97 GB          4.29 TB          2.15 TB       188688       500000    ok/ok
nmucia2               1.91 TB        955.17 GB          4.29 TB          2.15 TB       180202       500000    ok/ok
aapyan2               1.91 TB        954.95 GB          4.29 TB          2.15 TB         5669       500000    ok/ok
htrauger              1.91 TB        954.62 GB          4.00 TB          2.00 TB         3629       500000    ok/ok
mhahamy               1.90 TB        947.98 GB          4.29 TB          2.15 TB         8445       500000    ok/ok
mkrohn                1.89 TB        944.43 GB          4.00 TB          2.00 TB       107063       500000    ok/ok
koseoglu              1.88 TB        941.84 GB          4.00 TB          2.00 TB         1460       500000    ok/ok
stoyan                1.86 TB        932.12 GB          4.29 TB          2.15 TB       100766       500000    ok/ok
kencall               1.86 TB        927.93 GB          4.29 TB          2.15 TB         4152       500000    ok/ok
pastika               1.85 TB        925.45 GB          4.29 TB          2.15 TB         4165       500000    ok/ok
dokstolp              1.84 TB        922.19 GB          4.29 TB          2.15 TB        34354       500000    ok/ok
zhaoru                1.82 TB        911.12 GB          4.40 TB          2.20 TB         7674       500000    ok/ok
agallier              1.81 TB        906.85 GB          4.29 TB          2.15 TB         7237       500000    ok/ok
agarabed              1.80 TB        901.91 GB          4.29 TB          2.15 TB        90729       500000    ok/ok
eranken               1.80 TB        897.54 GB          4.29 TB          2.15 TB         4447       500000    ok/ok
tmudholk              1.79 TB        897.41 GB          4.00 TB          2.00 TB         6119       500000    ok/ok
guptar                1.78 TB        891.96 GB          4.00 TB          2.00 TB        11850       500000    ok/ok
grknef                1.77 TB        884.89 GB          4.00 TB          2.00 TB         7616       500000    ok/ok
gdexter               1.76 TB        878.37 GB          4.29 TB          2.15 TB         6388       500000    ok/ok
bregnery              1.74 TB        871.26 GB          4.29 TB          2.15 TB        10014       500000    ok/ok
jingyu                1.74 TB        867.97 GB          4.29 TB          2.15 TB         4521       500000    ok/ok
bjr                   1.73 TB        866.75 GB          4.00 TB          2.00 TB        11239       500000    ok/ok
jreiter               1.69 TB        846.57 GB          4.29 TB          2.15 TB         3622       500000    ok/ok
shalhout              1.69 TB        845.13 GB          4.29 TB          2.15 TB        82320       500000    ok/ok
alkahn                1.69 TB        843.04 GB          4.29 TB          2.15 TB       265348       500000    ok/ok
