EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
uscms5058           220.29 KB        110.14 KB           0.00 B           0.00 B            1            0    ignored/ignored
alschmid            193.27 KB         96.64 KB       1000.00 GB        500.00 GB            1       500000    ok/ok
elaird              157.73 KB         78.86 KB          4.29 TB          2.15 TB            1       500000    ok/ok
htholen             154.66 KB         77.33 KB          4.00 TB          2.00 TB            1       500000    ok/ok
ssekmen              74.40 KB         37.20 KB          4.00 TB          2.00 TB            1       500000    ok/ok
hacharya             73.04 KB         36.52 KB          4.00 TB          2.00 TB            2       500000    ok/ok
cmsprod              30.87 KB         15.43 KB           0.00 B           0.00 B           20            0    ignored/ignored
tcheng               30.35 KB         15.17 KB          4.29 TB          2.15 TB            1       500000    ok/ok
nobody               24.20 KB         12.10 KB          4.29 TB          2.15 TB           12       500000    ok/ok
anavamtz             16.25 KB          8.12 KB          4.00 TB          2.00 TB            2       500000    ok/ok
lantone              15.78 KB          7.89 KB          4.29 TB          2.15 TB            1       500000    ok/ok
taelkafr              9.84 KB          4.92 KB          4.29 TB          2.15 TB           40       500000    ok/ok
psiddire              7.93 KB          3.96 KB          4.00 TB          2.00 TB            1       500000    ok/ok
agapitos              6.35 KB          3.17 KB          4.29 TB          2.15 TB         1673       500000    ok/ok
jfernand              5.67 KB          2.83 KB          4.29 TB          2.15 TB            3       500000    ok/ok
dhare                 4.56 KB          2.28 KB          4.29 TB          2.15 TB            9       500000    ok/ok
apeters               3.02 KB          1.51 KB          4.29 TB          2.15 TB            5            0    ok/ignored
jiansun              750.00 B         375.00 B          4.40 TB          2.20 TB            1       500000    ok/ok
kmei91               608.00 B         304.00 B          4.29 TB          2.15 TB            2       500000    ok/ok
uscms6092            394.00 B         197.00 B           0.00 B           0.00 B            2            0    ignored/ignored
gerard1              256.00 B         128.00 B       1000.00 GB        500.00 GB            2       500000    ok/ok
hsiikone              46.00 B          23.00 B          4.00 TB          2.00 TB            1       500000    ok/ok
davidjin              24.00 B          12.00 B          4.00 TB          2.00 TB            1       500000    ok/ok
schnetz               24.00 B          12.00 B          4.29 TB          2.15 TB            1       500000    ok/ok
kherner               22.00 B          11.00 B          4.29 TB          2.15 TB            1       500000    ok/ok
gritsan               12.00 B           6.00 B          4.29 TB          2.15 TB            1       500000    ok/ok
aballado               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
abrandon               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
abrinke1               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ac448                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
adanders               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
adhananj               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
adraeger               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
aerler                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
aeverett               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
afiaschi               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ahandres               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ahearn                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
aheintz                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ak427                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
akoshy                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
alazzari               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
aleonard               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
alkaloge               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
amalahow               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
amaltaro               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
amangu                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
amithabh               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
amodak                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
amohamma               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
amott                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
amrit                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
anbaas                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
andrew                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
andy                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
anowack1               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aoliver                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aovcharo               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aparedes               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
apoole                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
apresyan               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aquinter               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
areegabd               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
arenton                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
arosado                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
asandber               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
aschroed               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
asciaba                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
asehovic               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ashinoda               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ashishk                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
askaur                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aspatel                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
astevens               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
astrong                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
asung                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
athompso               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
atsatsos               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
auterman               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
avanspil               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
avargash               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
avila                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
avsundar               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
awalsh                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ayork                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
aytul                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
azieser                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
baites                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bam8                   0.00 B           0.00 B       1000.00 GB        500.00 GB            0       500000    ok/ok
banerjee               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
barfuss                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bbockelm               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bcalvert               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bendavid               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
benhoob                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bgreenbe               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
bharrop                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
bhashemi               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bhatti                 0.00 B           0.00 B         43.98 TB         21.99 TB            0       500000    ok/ok
bhawan11               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bhinojos               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
bigtoe21               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bikashji               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bloom                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bm409                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bmarsh                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
bmdennis               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
bmsmith5               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
boj                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bonato                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bornheim               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
borzou                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
boyd                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
brownson               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
brs                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bruther6               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
bues90                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
burt                   0.00 B           0.00 B       1000.00 GB        500.00 GB            0       500000    ok/ok
bwang                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cannaert               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
carley                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
carron                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
carterm                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cascadan               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
castilla               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
caulfiel               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cavanaug               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cbe                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cchang                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cchen2                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ccheng                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ccoakley               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cdragoiu               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cdziwok                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cedwards               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cerba17                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cfreer                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cgiuglia               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cgoddard               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
chamath                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
chaouki7               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
chiyoung               0.00 B           0.00 B         12.88 TB          6.44 TB            0       500000    ok/ok
chlebana               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
chrisjcc               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
christos               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
chrjsjc7               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cisik                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cl2jd                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
clseitz                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
clucas                 0.00 B           0.00 B         65.97 TB         32.99 TB            0       500000    ok/ok
cmcgrady               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cmkuo                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cmsprdhi               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
coimbra                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
colafran               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
conway                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
coryrude               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cox                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cpeng                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cperry                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
crichard               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cubreto                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
custodio               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
cwilkins               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
cxia                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dalakoti               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
davidlw                0.00 B           0.00 B         21.99 TB         11.00 TB            0       500000    ok/ok
davis4c                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dawit                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dbarge                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dbeghin                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dberdeja               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dburton                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dciangot               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dcorso                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dcruz                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ddavila                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ddelgado               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
deisher                0.00 B           0.00 B          8.59 TB          4.29 TB            0       500000    ok/ok
denizsun               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
descuder               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dfulton                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dgadkari               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dgawerc                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dhangal                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dhidas                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dimatteo               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
djanders               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
djin                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dkumar                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dlast                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dlopes                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dmareska               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dmehmet                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dmytro                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dnowatsc               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dntaylor               0.00 B           0.00 B          5.00 TB          2.50 TB            0       500000    ok/ok
dorney                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
drjohn                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
drodrig                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dsr                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dstrom                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
durbina                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dwd                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dwjang                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
dxiong                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
dzuolo                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
eanderse               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ebauer                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ebonifaz               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ecampana               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
eculbert               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
efe                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
eggert                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ehwang                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
eikoyu                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ejagt                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ekennedy               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
eklarlun               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
elb8                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
elehrer                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
eliu                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
emalyshe               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
emendels               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
emilyj                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
epasino                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
epetrosk               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
esawyer                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
evka                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
eyaruss                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fantasia               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fdolek                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
feigelis               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fferro                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fgolf                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fjimenez               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fkhan                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fkw                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fl14973v               0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
fladias                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
flaecher               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
forrestp               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
freeman                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fromeo                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
fsimpson               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fsiviero               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fuess                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
fulcomer               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gagarwal               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
galmes                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
galtopp                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gbyu                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gcerizza               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gdujany                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gdyckes                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gec231                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
geonmo                 0.00 B           0.00 B          4.00 TB          2.00 TB            0        50000    ok/ok
georgia2               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
geraldr                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gerstein               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gfidalgo               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ggiurgiu               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ghaza                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gkopp                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gmadigan               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gneeser                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
goodyoun               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gpaspala               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
graham                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
grauco                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gsguazzo               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
gude                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
gulo                   0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
guofan                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
guts                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
guzelgun               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
haifasf                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hardenbr               0.00 B           0.00 B          7.00 TB          3.50 TB            0      5000000    ok/ok
harringt               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hdamian                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hebda                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hectorm                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hectorr4               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
heistera               0.00 B           0.00 B         17.59 TB          8.80 TB            0       500000    ok/ok
heitor                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hengne                 0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
heyburn                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hglaser                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hhe                    0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hichemb                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
himali10               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hinzmann               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hkim                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hlattaud               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hlee                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hliu012                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hnewman                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hollings               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hqiu                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
hsaka                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
huangxt                0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
hughes                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
hwolfe                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ibloch                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
idutta                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
igv                    0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
iojalvo                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
isa                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
isuarez                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jacques                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jakec                  0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
jandreje               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jbabb                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jballard               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jbargem                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jbenitez               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jconway                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jcumalat               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jdeclerc               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jdhaas                 0.00 B           0.00 B          8.59 TB          4.29 TB            0       500000    ok/ok
jdickens               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jdolph                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jeffderb               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jengbou                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jeott                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jferguso               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
jgwood                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
jhakala                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
